title,cast
White Plastic Sky,"Tamás Keresztes,Zsófia Szamosi,Géza D. Hegedüs"
Rockstar,"ranbir kapoor,Nargis Fakhri,Shammi Kapoor"
The Greatest Hits,"lucy boynton,Justin H. Min,David Corenswet"
Kill ‘Em All,"jean-claude van damme,autumn reeser,peter stormare"
The Killer,"Nathalie Emmanuel,omar sy,sam worthington"
Greedy People,"lily james,joseph gordon-levitt,Traci Lords"
Practical Magic,"sandra bullock,nicole kidman,Stockard Channing"
Parasite in Love,"Kento Hayashi,Ryo Ishibashi,Arata Iura"
Longlegs,"maika monroe,Nicolas Cage,Blair Underwood"
Dagr,"Riz Moritz,Ellie Duckles,tori butler-hart"
Kalki,"mrunal thakur,deepika padukone,amitabh bachchan"
DogMan,"caleb landry jones,Jojo T. Gibbs,Christopher Denham"
Black Dog,"Zhangke Jia,Jing Liang,eddie peng"
One Piece: The Movie,"Akemi Okamura,Kappei Yamaguchi,Kazuya Nakai"
One Piece: Heart of Gold,"Bryn Apprill,Patric Carroll,Luci Christian"
One Piece: The Cursed Holy Sword,"Takeshi Aono,hiroaki hirata,Masami Hisamoto"
Marguerite’s Theorem,"ella rumpf,Jean-Pierre Darroussin,Clotilde Courau"
One Piece: Dead End Adventure,"Sarah Chaney,hiroaki hirata,Shûichi Ikeda"
The Clean Up Crew,"Ekaterina Baker,antonio banderas,Derek Carroll"
One Piece: Clockwork Island Adventure,"Akemi Okamura,hiroaki hirata,Kappei Yamaguchi"
Inside Out 2,"amy poehler,Maya Hawke,Kensington Tallman"
Despicable Me 4,"steve carell,kristen wiig,pierre coffin"
Puss in Boots: The Last Wish,"antonio banderas,salma hayek,harvey guillen"
One Piece: Chopper’s Kingdom in the Strange Animal Island,"Takeshi Aono,Masashi Ebara,Toshiko Fujita"
Consumed,"Devon Sawa,Mark Famiglietti,courtney halverson"
One Fast Move,"k.j. apa,Eric Dane,Maia Reficco"
Acid,"Guillaume Canet,Laetitia Dosch,Patience Munchenbach"
The Nature of Love,"Magalie Lépine Blondeau,Pierre-Yves Cardinal,Francis-William Rhéaume"
My Life as a Zucchini,"Gaspard Schlatter,Sixtine Murat,Paulin Jaccoud"
The Union,"mark wahlberg,halle berry,j.k. simmons"
Gunner,"morgan freeman,Luke Hemsworth,Grant Feely"
Twilight of the Warriors: Walled In,"Louis Koo,Sammo Kam-Bo Hung,Richie Jen"
Jackpot!,"john cena,awkwafina,Simu Liu"
My Best Friend’s Girl,"Kate Hudson,dane cook,jason biggs"
Andrei Rublev,"Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko"
Elizabeth Taylor: The Lost Tapes,"Elizabeth Taylor,Roddy McDowall,Richard Burton"
Watchmen: Chapter I,"Corey Burton,Michael Cerveris,John Marshall Jones"
Fly Me to the Moon,"scarlett johansson,channing tatum,woody harrelson"
The Hypnosis,"Asta Kamma August,Herbert Nordrum,Andrea Edwards"
The Beast Within,"kit harington,Ashleigh Cummings,James Cosmo"
The Master and Margarita,"august diehl,Yulia Snigir,Evgeniy Tsyganov"
Frogman,"Nathan Tymoshuk,Benny Barrett,Ali Daniels"
Love Li,"Vasishta N. Simha,Stefy Patel,Achyuth Kumar"
Project Silence,"Lee Sun-kyun,Ju Ji-Hoon,Kim Hee-won"
Duchess,"Colm Meaney,Sean Pertwee,Stephanie Beacham"
Twisters,"Daisy Edgar-Jones,glen powell,anthony ramos"
Phir Aayi Hasseen Dillruba,"taapsee pannu,vikrant massey,Sunny Kaushal"
Lucky Luke,"Jean Dujardin,Michaël Youn,Sylvie Testud"
little ashes,"robert pattinson,Javier Beltrán,Matthew McNulty"
Detained,"abbie cornish,Laz Alonso,Moon Bloodgood"
Touch,"Egill Ólafsson,Kôki,Palmi Kormákur"
Skunk,"Thibaud Dooms,Colin Van Eeckhout,Pascal Braeckman"
The Instigators,"matt damon,casey affleck,hong chau"
Widow Clicquot,"haley bennett,Leo Suter,Natasha O'Keeffe"
The Goldfinger,"Tony Leung Chiu-wai,andy lau,Simon Yam"
Les Misérables in Concert: The 25th Anniversary,"Alfie Boe,Norm Lewis,Matt Lucas"
Last Love,"michael caine,Michelle Goddet,Jane Alexander"
Jack and the Cuckoo-Clock Heart,"Mathias Malzieu,Olivia Ruiz,Grand Corps Malade"
The Hangman,"LeJon Woods,Mar Cellus,Lindsey Dresbach"
Stopmotion,"Aisling Franciosi,Therica Wilson-Read,Stella Gonet"
I Know What You Did Last Summer,"jennifer love hewitt,Sarah Michelle Gellar,Anne Heche"
Borderless Fog,"Putri Marino,Yoga Pratama,Lukman Sardi"
Villains,"Bill Skarsgård,maika monroe,Blake Baumgartner"
Husbands and Wives,"Woody Allen,mia farrow,Sydney Pollack"
Saving Bikini Bottom: The Sandy Cheeks Movie,"Carolyn Lawrence,tom kenny,clancy brown"
Hindsight,"Song Kang-ho,Shin Se-Kyung,Cheon Jeong-myeong"
Jules,"ben kingsley,Harriet Sansom Harris,Jane Curtin"
MaXXXine,"Charley Rowan McCain,Simon Prast,mia goth"
Spy x Family Code: White,"Takuya Eguchi,Atsumi Tanezaki,Saori Hayami"
Hijack,"Sung Dong-il,Yeo Jin-goo,Ha Jung-woo"
Janet Planet,"Zoe Ziegler,Luke Philip Bosco,June Walker Grossman"
Daddio,"dakota johnson,sean penn,Marcos A. Gonzalez"
A Quiet Place: Day One,"lupita nyong'o,Joseph Quinn,alex wolff"
Ghostlight,"Keith Kupferer,Katherine Mallen Kupferer,Tara Mallen"
Hell House LLC,"Gore Abrams,Alice Bahlke,Danny Bellini"
The Boy in the Woods,"Jett Klyne,richard armitage,david kohlsmith"
Ezra,"Bobby Cannavale,rose byrne,vera farmiga"
Arcadian,"Nicolas Cage,Jaeden Martell,maxwell jenkins"
Faye,"Faye Dunaway,Mark Harris,sharon stone"
I Am: Celine Dion,"Céline Dion,Nelson Angélil,Eddy Angélil"
Starve Acre,"Arthur Shaw,Erin Richards,Robert Emms"
The Garfield Movie,"chris pratt,samuel l. jackson,hannah waddingham"
The Goat Life,"Prithviraj Sukumaran,Jimmy Jean-Louis,K.r. Gokul"
Tuesday,"Julia Louis-Dreyfus,Lola Petticrew,Leah Harvey"
Ginga Tetsudo no Chichi,"Nana Mori,Maki Sakai,Masaki Suda"
Palma,"Liliya,Viktor Dobronravov,Leonid Basov"
Dr. Death: Cutthroat Conman,"Chris Bezaire,Judy Ho,Paolo Macchiarini"
The Strangers: Chapter 1,"Madelaine Petsch,Ryan Bown,Matus Lajcak"
Before Dawn,"Travis Jeffery,levi miller,ed oxenbould"
Kill,"Lakshya,Raghav Juyal,Tanya Maniktala"
Bad Boys: Ride or Die,"will smith,Martin Lawrence,vanessa hudgens"
Humanist Vampire Seeking Consenting Suicidal Person,"Sara Montpetit,Félix-Antoine Bénard,Steve Laplante"
Following,"Byun Yo-han,Shin Hye-sun,Yoon Byung-hee"
Free Time,"Colin Burgess,Rajat Suresh,Holmes"
Srikanth,"Sukhita Aiyar,Alaya F,Bharat Jadhav"
Young Woman and the Sea,"daisy ridley,Tilda Cobham-Hervey,Stephen Graham"
Wildcat,"Maya Hawke,laura linney,Philip Ettinger"
Thelma,"june squibb,Fred Hechinger,richard roundtree"
"Justice League: Crisis on Infinite Earths, Part Three","jensen ackles,gideon adlon,Ike Amadi"
Ultraman: Rising,"Christopher Sean,Tamlyn Tomita,Rob Fukuzaki"
My Spy: The Eternal City,"dave bautista,Chloe Coleman,Kristen Schaal"
A Sacrifice,"eric bana,Sadie Sink,sylvia hoeks"
Mothers’ Instinct,"anne hathaway,jessica chastain,Josh Charles"
The Verge of Death,"Taskya Namya,t. rifnu wikana,Wafda Saifan Lubis"
Lowlifes,"Amanda Fix,Matthew MacCaull,Brenna Llewellyn"
Jackdaw,"oliver jackson-cohen,jenna coleman,thomas turgoose"
Goyo,"nicolás furtado,Nancy Dupláa,Soledad Villamil"
The Convert,"guy pearce,Tioreore Ngatai-Melbourne,Antonio Te Maioha"
The Inheritance,"peyton list,Rachel Nichols,austin stowell"
Flubber,"robin williams,marcia gay harden,Christopher McDonald"
Elephant,"Elias McConnell,Alex Frost,Eric Deulen"
Descendants: The Rise of Red,"Kylie Cantrall,Malia Baker,Ruby Rose Turner"
Tarot,"Harriet Slater,Adain Bradley,Jacob Batalon"
Dragonkeeper,"Mario Gas,Lucía Pérez,Nano Castro"
Challengers,"zendaya,Mike Faist,Josh O'Connor"
Made in England: The Films of Powell and Pressburger,"martin scorsese,Emeric Pressburger,Michael Powell"
Edge of Fear,"Rockmond Dunbar,Zhu Zhu,Shen Lin"
Contra,"Nilam Farooq,Christoph Maria Herbst,Hassan Akkouch"
Blackwater Lane,"minka kelly,dermot mulroney,maggie grace"
The Courier (El correo),"Arón Piper,María Pedraza,luis tosar"
The Infallibles,"Inès Reg,Kevin Debonne,Vincent Rottiers"
Drawing Closer,"Ren Nagase,Natsuki Deguchi,Mayu Yokota"
The Bikeriders,"Austin Butler,jodie comer,tom hardy"
Kingdom of the Planet of the Apes,"Owen Teague,Freya Allan,Kevin Durand"
Back to Black,"Marisa Abela,eddie marsan,jack o'connell"
Center of My World,"louis hofmann,Jannik Schümann,Sabine Timoteo"
A Disturbance in the Force,"Bruce Vilanch,kevin smith,'Weird Al' Yankovic"
Firebrand,"alicia vikander,Junia Rees,Ruby Bentall"
The Roundup: Punishment,"Lee Beom-su,Derek Chouinard,Lee Dong-hwi"
A Writer’s Odyssey,"Jiayin Lei,Mi Yang,Zijian Dong"
A Midsummer Night’s Sex Comedy,"Woody Allen,mia farrow,José Ferrer"
Garudan,"Soori,Shivada Nair,Samuthirakani"
The Boy and the Heron,"Soma Santoki,Masaki Suda,Ko Shibasaki"
The Imaginary,"Kokoro Terada,Rio Suzuki,sakura andô"
Space Cadet,"emma roberts,tom hopper,Poppy Liu"
Control,"kevin spacey,Lauren Metcalfe,Mark Hampton"
Shadow of Fire,"Shuri,Mirai Moriyama,Ouga Tsukao"
Beverly Hills Cop: Axel F,"Eddie Murphy,joseph gordon-levitt,Taylour Paige"
Boneyard,"mel gibson,Nora Zehetner,Gabrielle Haugh"
Unsung Hero,"Daisy Betts,Joel Smallbone,Kirrilee Berger"
The Devil’s Bath,"Anja Plaschg,Maria Hofstätter,David Scheid"
A Family Affair,"nicole kidman,zac efron,joey king"
Fancy Dance,"Michael Rowe,Blayne Allen,Isabel Deroy-Olson"
The Watchers,"dakota fanning,georgina campbell,olwen fouéré"
The Admiral: Roaring Currents,"Choi Min-sik,Ryu Seung-ryong,Cho Jin-woong"
Noryang: Deadly Sea,"Kim Yoon-seok,Baek Yoon-Seok,Jeong Jae-yeong"
We Are Your Friends,"zac efron,Wes Bentley,emily ratajkowski"
Furiosa: A Mad Max Saga,"anya taylor-joy,chris hemsworth,Tom Burke"
Stargate,"kurt russell,James Spader,Jaye Davidson"
Toilet: A Love Story,"akshay kumar,anupam kher,divyendu sharma"
The Vanishing,"Bernard-Pierre Donnadieu,Gene Bervoets,Johanna ter Steege"
The Killing,"Sterling Hayden,Coleen Gray,Vince Edwards"
Federer: Twelve Final Days,"Mirka Federer,Björn Borg,Tony Godsick"
Trigger Warning,"jessica alba,mark webber,Anthony Michael Hall"
Miller’s Girl,"martin freeman,Jenna Ortega,Bashir Salahuddin"
Adagio,"Pierfrancesco Favino,Toni Servillo,Valerio Mastandrea"
The Zone of Interest,"Christian Friedel,sandra hüller,Johann Karthaus"
The Great Lillian Hall,"Jessica Lange,kathy bates,Lily Rabe"
Handling the Undead,"Renate Reinsve,anders danielsen lie,Bahar Pars"
IF,"Cailey Fleming,ryan reynolds,john krasinski"
The Secret World of Arrietty,"Bridgit Mendler,amy poehler,will arnett"
Remember Sunday,"alexis bledel,zachary levi,merritt wever"
Red Cliff,"Tony Leung Chiu-wai,Takeshi Kaneshiro,Fengyi Zhang"
Anna and the King,"jodie foster,Chow Yun-Fat,bai ling"
All That Jazz,"Roy Scheider,Jessica Lange,Ann Reinking"
Winnie-the-Pooh: Blood and Honey 2,"scott chambers,Tallulah Evans,Ryan Oliva"
"Sometimes, I Think About Dying","Katy Wright-Mead,jim sarbh,Cody Dugan"
I Saw the TV Glow,"justice smith,brigette lundy-paine,Ian Foreman"
Colors of Evil: Red,"Jakub Gierszal,Maja Ostaszewska,Zofia Jastrzebska"
Red Beard,"Toshirô Mifune,Yûzô Kayama,Tsutomu Yamazaki"
Sorority Row,"Briana Evigan,Rumer Willis,carrie fisher"
Bade Miyan Chote Miyan,هندوستان
Late Bloomers,"karen gillan,Malgorzata Zajaczkowska,Loni Ackerman"
Hit Man,"glen powell,adria arjona,Retta"
The Blue Angels,"Chris Kapuschansky,Brian Kesselring,Monica Borza"
Am I OK?,"dakota johnson,sonoya mizuno,jermaine fowler"
All Dogs Go to Heaven,"Dom DeLuise,Burt Reynolds,Loni Anderson"
Under Paris,"bérénice bejo,Léa Léviant,Sandra Parfait"
The Point Men,"Hwang Jung-min,hyun bin,Kang Ki-young"
The Experiment,"Moritz Bleibtreu,Christian Berkel,Oliver Stokowski"
The Beast (La bête),"léa seydoux,george mackay,Guslagie Malanda"
Forgotten Love,"Leszek Lichota,Maria Kowalska,Ignacy Liss"
My Oni Girl,"Kenshô Ono,Miyu Tomita,Shintarô Asanuma"
Die Hart 2: Die Harter,"kevin hart,Nathalie Emmanuel,ben schwartz"
"LaRoy, Texas","steve zahn,John Magaro,dylan baker"
Omen IV: The Awakening,"Faye Grant,Michael Woods,Michael Lerner"
Damien: Omen II,"william holden,Lee Grant,Jonathan Scott-Taylor"
Imaginary,"DeWanda Wise,Taegen Burns,Pyper Braun"
Bloodline Killer,"Shawnee Smith,Taryn Manning,Drew Moerlein"
Knox Goes Away,"michael keaton,Ray McKinnon,Cassie Moronez"
Love Lies Bleeding,"Anna Baryshnikov,kristen stewart,dave franco"
The First Omen,"nell tiger free,ralph ineson,Sônia Braga"
Crew,"tabu,Kareena Kapoor,kriti sanon"
Atlas,"jennifer lopez,Simu Liu,sterling k. brown"
Maidaan,"ajay devgn,Priyamani,gajraj rao"
Civil War,"kirsten dunst,wagner moura,cailee spaeny"
Golden Kamuy,"Kento Yamazaki,Anna Yamada,Yûma Yamoto"
Boy Kills World,"Bill Skarsgård,jessica rothe,michelle dockery"
The Fall Guy,"ryan gosling,emily blunt,aaron taylor-johnson"
The Fox (Der Fuchs),"Simon Morzé,karl markovics,Adriane Gradziel"
Thelma the Unicorn,"Brittany Howard,Will Forte,jon heder"
Aavesham,"fahadh faasil,Hipzster,Mithun Jai Shankar"
Godzilla: Planet of the Monsters,"mamoru miyano,takahiro sakurai,kana hanazawa"
Baghead,"Freya Allan,jeremy irvine,Ruby Barker"
Blue Giant,"Yutaka Aoyama,Masayuki Katô,Sayaka Kinoshita"
Sting,"jermaine fowler,ryan corr,Alyla Browne"
Sasquatch Sunset,"jesse eisenberg,riley keough,Christophe Zajac-Denek"
Beautiful Wedding,"virginia gardner,Dylan Sprouse,Libe Barer"
Shin Godzilla,"hiroki hasegawa,Yutaka Takenouchi,Satomi Ishihara"
Godzilla x Kong: The New Empire,"rebecca hall,dan stevens,Rachel House"
Mars Express,"léa drucker,Mathieu Amalric,Daniel Njo Lobé"
Disappear Completely,"Harold Torres,Tete Espinoza,Fermín Martínez"
Manjummel Boys,"soubin shahir,sreenath bhasi,Balu Varghese"
The Last Stop in Yuma County,"jim cummings,Jocelin Donahue,Richard Brake"
The Ministry of Ungentlemanly Warfare,"henry cavill,alan ritchson,alex pettyfer"
The Miracle Club,"Maggie Smith,laura linney,kathy bates"
Dusk for a Hitman,"Éric Bruneau,Benoît Gouin,Rose-Marie Perreault"
Abigail,"Melissa Barrera,dan stevens,Alisha Weir"
Ghostbusters: Frozen Empire,"paul rudd,carrie coon,finn wolfhard"
City Hunter,"Ryohei Suzuki,Misato Morita,Masanobu Andô"
Madgaon Express,"divyendu sharma,Pratik Gandhi,avinash tiwary"
Shaitaan,"ajay devgn,madhavan,Janki Bodiwala"
Force of Nature: The Dry 2,"eric bana,anna torv,Deborra-Lee Furness"
Cabrini,"Cristiana Dell'Anna,john lithgow,David Morse"
Unfrosted,"Isaac Bae,Jerry Seinfeld,Chris Rickett"
Something in the Water,"Hiftu Quasem,Lauren Lyle,Natalie Mitson"
The Idea of You,"anne hathaway,Nicholas Galitzine,Ella Rubin"
The Long Game,"dennis quaid,Jay Hernandez,Cheech Marin"
Turtles All the Way Down,"Isabela Merced,Hannah Marks,Felix Mallard"
Godzilla Minus One,"sakura andô,minami hamabe,ryûnosuke kamiki"
Bad Hombres,"Diego Tinoco,Hemky Madera,thomas jane"
Words on Bathroom Walls,"charlie plummer,andy garcia,taylor russell"
We’re No Angels,"robert de niro,sean penn,Demi Moore"
"Tiger, Blood in the Mouth","leonardo sbaraglia,Eva De Dominici,Erica Banchi"
Theeb,"Jacir Eid Al-Hwietat,Hussein Salameh Al-Sweilhiyeen,Hassan Mutlag Al-Maraiyeh"
French Girl,"Zach Braff,Evelyne Brochu,Luc Picard"
Infested (Vermines),"Théo Christine,Sofia Lesaffre,Jérôme Niel"
Tiger,آمریکا
The Way He Looks,"Ghilherme Lobo,Fabio Audi,Tess Amorim"
MR-9: Do or Die,"frank grillo,michael jai white,Kelly Greyson"
Yodha,"Sidharth Malhotra,raashi khanna,disha patani"
Einstein and the Bomb,"Aidan McArdle,Andrew Havill,Rachel Barry"
The Blind,"Aron von Andrian,Matthew Erick White,Ronan Carroll"
The Runaways,"kristen stewart,dakota fanning,michael shannon"
The Place,"Valerio Mastandrea,marco giallini,alessandro borghi"
Humane,"jay baruchel,Emily Hampshire,Peter Gallagher"
Cash Out,"john travolta,Kristin Davis,Lukas Haas"
Exhuma,"Choi Min-sik,Kim Go-eun,Lee Do-Hyun"
The Party,"Peter Sellers,Claudine Longet,Natalia Borisova"
The Legend and Butterfly,"takuya kimura,Haruka Ayase,Manabu Hamada"
The Isle,"Jung Suh,Kim Yu-seok,Cho Jae-hyun"
Justice League: Crisis on Infinite Earths – Part Two,"jensen ackles,jonathan adams,gideon adlon"
The Cold Light of Day,"henry cavill,bruce willis,sigourney weaver"
Drive-Away Dolls,"margaret qualley,geraldine viswanathan,beanie feldstein"
Aftermath,"Fruzsina Nagy,Edward Apeagyei,Sally Kirkland"
Arthur the King,"mark wahlberg,Simu Liu,Juliet Rylance"
Monkey Man,"dev patel,sharlto copley,Pitobash"
The Beaver,"mel gibson,jodie foster,anton yelchin"
Speed Racer,"emile hirsch,Matthew Fox,christina ricci"
Freedom (Libertate),"Alex Calangiu,Catalin Herlo,Ionut Caras"
Southbound,"Chad Villella,Matt Bettinelli-Olpin,Kristina Pesic"
Red River,"John Wayne,Montgomery Clift,Joanne Dru"
Red Dog,"josh lucas,rachael taylor,Rohan Nichol"
Snack Shack,"Conor Sherry,gabriel labelle,Mika Abdalla"
Asphalt City,"sean penn,tye sheridan,gbenga akinnagbe"
Problemista,"Julio Torres,tilda swinton,rza"
Blood for Dust,"josh lucas,kit harington,scoot mcnairy"
Psycho IV: The Beginning,"Anthony Perkins,CCH Pounder,Henry Thomas"
Prozac Nation,"christina ricci,jonathan rhys meyers,Jessica Lange"
Palo Alto,"emma roberts,james franco,jack kilmer"
New Kung Fu Cult Master,"Donnie Yen,Louis Koo,Raymond Lam"
My Best Friend’s Wedding,"julia roberts,dermot mulroney,cameron diaz"
Breathe,"jennifer hudson,milla jovovich,Quvenzhané Wallis"
Morgan,"kate mara,anya taylor-joy,Rose Leslie"
Rebel Moon – Part Two: The Scargiver,"sofia boutella,charlie hunnam,anthony hopkins"
The Three Musketeers – Part II: Milady,"françois civil,vincent cassel,romain duris"
The Tearsmith,"Simone Baldasseroni,Caterina Ferioli,Sabrina Paravicini"
Mississippi Burning,"Gene Hackman,willem dafoe,frances mcdormand"
Lunana: A Yak in the Classroom,"Sherab Dorji,Ugyen Norbu Lhendup,Kelden Lhamo Gurung"
Woody Woodpecker Goes to Camp,"Mary-Louise Parker,Josh Lawson,Chloe De Los Santos"
Lilya 4-Ever,"Oksana Akinshina,Artyom Bogucharskiy,Pavel Ponomaryov"
Immaculate,"Sydney Sweeney,Álvaro morte,Simona Tabasco"
Dune: Part Two,"timothée chalamet,zendaya,rebecca ferguson"
Evil Does Not Exist,"Hitoshi Omika,Ryô Nishikawa,Ryûji Kosaka"
Lilo and Stitch 2: Stitch Has a Glitch,"Chris Sanders,dakota fanning,Tia Carrere"
James and the Giant Peach,"Paul Terry,joanna lumley,pete postlethwaite"
I Am Zlatan,"Granit Rushiti,Dominic Andersson Bajraktati,Cedomir Glisovic"
Humpty Sharma Ki Dulhania,"varun dhawan,alia bhatt,ashutosh rana"
Golmaal Returns,"ajay devgn,Kareena Kapoor,Arshad Warsi"
Goal! The Dream Begins,"Kuno Becker,alessandro nivola,Anna Friel"
Girls Trip,"regina hall,Queen Latifah,Jada Pinkett Smith"
Huesera: The Bone Woman,"peru , مکزیک"
Damaged,"samuel l. jackson,vincent cassel,Gianni Capaldi"
Windcatcher,"Lennox Monaghan,Jessica Mauboy,Kelton Pell"
Slow,"Greta Grineviciute,Kestutis Cicenas,Pijus Ganusauskas"
Night Swim,"wyatt russell,kerry condon,Amélie Hoeferle"
Wicked Little Letters,"olivia colman,jessie buckley,timothy spall"
Prey,"Ryan Phillippe,emile hirsch,Mena Suvari"
10 Days of a Good Man,"Nejat Isler,Nur Fettahoglu,Senay Gürler"
Scoop,"Connor Swindells,Kate Fleetwood,Jennifer Winn"
Sleeping Dogs,"russell crowe,karen gillan,marton csokas"
Kung Fu Panda 4,"jack black,awkwafina,viola davis"
Fright Night 2,"Will Payne,Jaime Murray,Sean Power"
Friday the 13th: A New Beginning,"Melanie Kinnaman,John Shepherd,Anthony Barrile"
Fireworks,"takeshi kitano,Kayoko Kishimoto,Ren Ôsugi"
Chang An,"Tianxiang Yang,Zhenhe Ling,Junquan Wu"
La Chimera,"Josh O'Connor,Carol Duarte,Vincenzo Nemolato"
Música (Musica),"Rudy Mancuso,camila mendes,Francesca Reale"
Exposed,"Ana de Armas,keanu reeves,Christopher McDonald"
Dude,"lucy hale,kathryn prescott,alexandra shipp"
Just the Two of Us,"virginie efira,Melvil Poupaud,Dominique Reymond"
The Wages of Fear,"Sofiane Zermani,alban lenoir,Ana Girardot"
Hotel Inferno,"Rayner Bourton,Michael Howe,Jessica Carroll"
Disturbia,"shia labeouf,David Morse,carrie-anne moss"
Dilwale,"shah rukh khan,kajol,varun dhawan"
The Settlers (Los colonos),"Sam Spruell,mark stanley,Alfredo Castro"
Ordinary Angels,"hilary swank,alan ritchson,Emily Mitchell"
Tiger Stripes,"Zafreen Zairizal,Deena Ezral,Piqa"
The Spider Within: A Spider-Verse Story,"brian tyree henry,shameik moore"
Dark Passage,"humphrey bogart,lauren bacall,Bruce Bennett"
Daddy Long Legs,"Fred Astaire,Leslie Caron,Terry Moore"
Shirley,"regina king,lance reddick,terrence howard"
There’s Still Tomorrow,"Paola Cortellesi,Valerio Mastandrea,Romana Maggiora Vergano"
Curse of the Golden Flower,"Chow Yun-Fat,Gong Li,jay chou"
Black Venus,"Yahima Torres,Andre Jacobs,olivier gourmet"
Teri Baaton Mein Aisa Uljha Jiya,"shahid kapoor,kriti sanon,Dharmendra"
Bedazzled,"brendan fraser,Elizabeth Hurley,frances o'connor"
Fighter,"hrithik roshan,deepika padukone,Anil Kapoor"
bad education,"gael garcía bernal,Fele Martínez,Javier Cámara"
The First Slam Dunk,"Shugo Nakamura,Jun Kasama,Shinichiro Kamio"
You’ll Never Find Me,"Brendan Rock,Jordan Cowan,Elena Carapetis"
The Monk and the Gun,"Harry Einhorn,Tandin Wangchuk,Tandin Sonam"
On Fire,"peter facinelli,fiona dourif,asher angel"
Road House,"jake gyllenhaal,Daniela Melchior,Conor McGregor"
Bob Marley: One Love,"Kingsley Ben-Adir,Lashana Lynch,james norton"
Night Shift,"Phoebe Tonkin,patrick fischler,Madison Hu"
The Shadowless Tower,"Bai Qing Xin,Yao Huang,Zhuangzhuang Tian"
Ghajini,"aamir khan,Asin Thottumkal,Jiah Khan"
Fan,"shah rukh khan,Shriya Pilgaonkar,sayani gupta"
5lbs of Pressure,"luke evans,rory culkin,alex pettyfer"
Parallel,"aldis hodge,Danielle Deadwyler,Edwin Hodge"
Madame Web,"dakota johnson,Sydney Sweeney,Isabela Merced"
I.S.S.,"Ariana DeBose,chris messina,john gallagher jr."
